title	composed_in	revised_in	lyricist	label	file_name	genre	forces
As Surely As the Sunset	1977		H.D. Thoreau	(one movement)	surely.sunset.mp3	Art Song	"baritone,piano"
Concerto for Clarinet & Orchestra	2007			I. Allegro moderato	clar_cto_1st_movt.mp3	Concerto	"clarinet, orchestra"
Concerto for Clarinet & Orchestra	2007			II. Moderato “The View from Carew”	clar_cto_2nd.mp3	Concerto	"clarinet, orchestra"
Concerto for Clarinet & Orchestra	2007			III. Allegro	clar_cto_3rd_movt.mp3	Concerto	"clarinet, orchestra"
Pastorale for flute & strings	1979			(one movement)	pastorale.mp3	Miscellaneous Chamber	"flute, violin, viola, cello"
Little Suite in G	2008			I. Moderato	little_suite_1.mp3	Miscellaneous Solo	cello
Little Suite in G	2008			"II. Lento, molto rubato"	little_suite_2nd_movt.mp3	Miscellaneous Solo	cello
Little Suite in G	2008			III. Moderato	little_suite_3.mp3	Miscellaneous Solo	cello
Little Suite in G	2008			IV. Allegro	little_suite_4th.mp3	Miscellaneous Solo	cello
Harbachsichord:  Suite in C	1990			I. Prelude	prelude_harbach.mp3	Miscellaneous Solo	harpsichord
Harbachsichord:  Suite in C	1990			II. Theme & Variations	harbach_2nd.mp3	Miscellaneous Solo	harpsichord
A Hero’s Prayer	2000			(one movement)	heros_prayer.mp3	Miscellaneous Chamber	"cello, piano"
"Trio #2 for violin, clarinet & piano: American Variations on a Belorussian Folk tune"	1994	2005		(one movement)	amer_vari_beloruss.mp3	Miscellaneous Chamber	"violin, clarinet, piano"
"Trio #3 for violin, clarinet & piano: Memories of Corsica"	2007			I. Arid Heat	arid_heat.mp3	Miscellaneous Chamber	"violin, clarinet, piano"
"Trio #3 for violin, clarinet & piano: Memories of Corsica"	2007			II. Aromatic Breezes	corsica_breezes.mp3	Miscellaneous Chamber	"violin, clarinet, piano"
"Trio #3 for violin, clarinet & piano: Memories of Corsica"	2007			III. Ardent Souls	ardent_corsica.mp3	Miscellaneous Chamber	"violin, clarinet, piano"
"Trio #1 for violin, clarinet & piano: Sunny Days"	1994	1996		I. Moderato	sunny_days_1st-movt.mp3	Miscellaneous Chamber	"violin, clarinet, piano"
"Trio #1 for violin, clarinet & piano: Sunny Days"	1994	1996		II. Allegretto	sunny_days_2.mp3	Miscellaneous Chamber	"violin, clarinet, piano"
"Trio #1 for violin, clarinet & piano: Sunny Days"	1994	1996		III. Moderato	sunny_days_III.mp3	Miscellaneous Chamber	"violin, clarinet, piano"
"Trio #1 for violin, clarinet & piano: Sunny Days"	1994	1996		IV. Vivo	sowash_vivo.mp3	Miscellaneous Chamber	"violin, clarinet, piano"
Convivial Suite	1999			I. Fugue	convivial_fugue.mp3	Miscellaneous Chamber	"violin, cello"
Convivial Suite	1999			II. Waltz	waltz_convivial.mp3	Miscellaneous Chamber	"violin, cello"
Convivial Suite	1999			III. Blues	convivial_blues.mp3	Miscellaneous Chamber	"violin, cello"
Convivial Suite	1999			IV. March	convivial_march.mp3	Miscellaneous Chamber	"violin, cello"
Convivial Suite	1999			V. Adagio	conviv_adagio.mp3	Miscellaneous Chamber	"violin, cello"
Convivial Suite	1999			VI. Finale	finale_convivial.mp3	Miscellaneous Chamber	"violin, cello"
Impressionist Suite #1	2000			I. Monet: a seascape	monet_seascape.mp3	Miscellaneous Chamber	"oboe, clarinet, bassoon"
Impressionist Suite #1	2000			II. Renoir: the play of colors	renoir.mp3	Miscellaneous Chamber	"oboe, clarinet, bassoon"
Impressionist Suite #1	2000			III. Manet: Spanish subjects	Impress_Manet.mp3	Miscellaneous Chamber	"oboe, clarinet, bassoon"
Piano Trio #5:  Eroica	2000			I. Allegro	eroica_1st_movt.mp3	Miscellaneous Chamber	"violin, cello, piano"
Piano Trio #5:  Eroica	2000			II. Adagio	adagio_eroica.mp3	Miscellaneous Chamber	"violin, cello, piano"
Piano Trio #5:  Eroica	2000			III. Presto	presto_eroica.mp3	Miscellaneous Chamber	"violin, cello, piano"
Father’s Day Suite	2005			I. Invention:  Allegro	fathers_day_1.mp3	Miscellaneous Chamber	"violin, viola, cello"
Father’s Day Suite	2005			II. Sicilienne:  Andantino	fathers_day_2nd_movt.mp3	Miscellaneous Chamber	"violin, viola, cello"
Father’s Day Suite	2005			III. Fugue:  Lento	fugue_fathers.mp3	Miscellaneous Chamber	"violin, viola, cello"
Father’s Day Suite	2005			IV. Rondo:  Vivo	fathers_suite_finale.mp3	Miscellaneous Chamber	"violin, viola, cello"
Suite for Three Violins	1989			I. Allegretto	suite_3_vlns_1.mp3	Miscellaneous Chamber	3 violins
Suite for Three Violins	1989			II. Presto	3violin_suite_2nd_movt.mp3	Miscellaneous Chamber	3 violins
Suite for Three Violins	1989			"III. Moderato, rubato"	3_vlns_3rd_movt.mp3	Miscellaneous Chamber	3 violins
Suite for Three Violins	1989			"IV. Lento, dolce"	suite_3violins_4.mp3	Miscellaneous Chamber	3 violins
Suite for Three Violins	1989			V. Allegro	suite_3_vlns_5.mp3	Miscellaneous Chamber	3 violins
Variations on an Original Christmas Carol	2005			(one movement)	vari_orig_carol.mp3	Miscellaneous Chamber	"violin, viola, cello"
Serenade for Mary: A Musical Get Well Card	1979			I. Overture toward Mary	overture_mary.mp3	Miscellaneous Chamber	"flute, clarinet, string quartet"
Serenade for Mary: A Musical Get Well Card	1979			II. Lullabye for Mary	seren_lullaby.mp3	Miscellaneous Chamber	"flute, clarinet, string quartet"
