title	composed_in	genre	forces	label	file_name	revised_in	lyricist
Concerto for Cello & Strings with Clarinet	2006	Concerto	"cello, strings, clarinet"	I. Hymns and Fugues	Cello_cto_I.mp3		
Concerto for Cello & Strings with Clarinet	2006	Concerto	"cello, strings, clarinet"	I. Hymns and Fugues	Cello_cto_I.pdf		
Concerto for Cello & Strings with Clarinet	2006	Concerto	"cello, strings, clarinet"	II. Blues	blues_cello_cto.mp3		
Concerto for Cello & Strings with Clarinet	2006	Concerto	"cello, strings, clarinet"	II. Blues	blues_cello_cto.pdf		
Concerto for Cello & Strings with Clarinet	2006	Concerto	"cello, strings, clarinet"	III. Sorbet	sorbet.mp3		
Concerto for Cello & Strings with Clarinet	2006	Concerto	"cello, strings, clarinet"	III. Sorbet	mp3.sorbet.pdf		
Concerto for Cello & Strings with Clarinet	2006	Concerto	"cello, strings, clarinet"	IV. Finale	cello_cto_finale.mp3		
Concerto for Cello & Strings with Clarinet	2006	Concerto	"cello, strings, clarinet"	IV. Finale	cello_cto_finale.pdf		
Fantasia on “Shenandoah”	1991	Miscellaneous Orchestral	strings	string orchestra version	fant_shen_usarmystr_.mp3		
Fantasia on “Shenandoah”	1991	Miscellaneous Orchestral	strings	string orchestra version	sowash_fantasia.pdf		
North Country Suite	2011	Miscellaneous Orchestral	orchestra	I. Spirit of the North	spirit_north.mp3		
North Country Suite	2011	Miscellaneous Orchestral	orchestra	I. Spirit of the North	spirit_north.pdf		
North Country Suite	2011	Miscellaneous Orchestral	orchestra	II. Northern Lights	North_Lights.mp3		
North Country Suite	2011	Miscellaneous Orchestral	orchestra	II. Northern Lights	North_Lights.pdf		
North Country Suite	2011	Miscellaneous Orchestral	orchestra	III. Father of Waters	father_of_waters.mp3		
North Country Suite	2011	Miscellaneous Orchestral	orchestra	III. Father of Waters	father_of_waters.pdf		
North Country Suite	2011	Miscellaneous Orchestral	orchestra	IV. Boreal Forest	boreal_forest.mp3		
North Country Suite	2011	Miscellaneous Orchestral	orchestra	IV. Boreal Forest	boreal_forest.pdf		
North Country Suite	2011	Miscellaneous Orchestral	orchestra	V. Into the Wind	into_the_wind.mp3		
North Country Suite	2011	Miscellaneous Orchestral	orchestra	V. Into the Wind	into_the_wind.pdf		
Sonata for Violin & Piano	1971	Sonata	"violin, piano"	all three movements	violin_sonata.mp3		
Sonata for Violin & Piano	1971	Sonata	"violin, piano"	all three movements	violin_sonata.pdf		
Variations on “Love Is Little”	2008	Miscellaneous Solo	clarinet	one movement	love_little.mp3		
Variations on “Love Is Little”	2008	Miscellaneous Solo	clarinet	one movement	love_little.pdf		
Gelato per Dio	2007	Miscellaneous Chamber	"clarinet, piano"	one movement	gelato.mp3		
Gelato per Dio	2007	Miscellaneous Chamber	"clarinet, piano"	one movement	gelato.pdf		
